код_модуль,код_курс,код_сотрудник,оценка_курс,отзыв
модуль_1,курс_1,студент_1,4,"Замечательный курс, все четко и по делу."
модуль_2,курс_1,студент_1,3,"Материал неплохой, но иногда скучновато."
модуль_4,курс_1,студент_1,4,"Преподаватели супер, материал изложен доступно."
модуль_6,курс_1,студент_1,3,"Курс хороший, но можно было бы добавить больше практики."
модуль_10,курс_1,студент_1,1,"Слишком много теории, мало практики."
модуль_2,курс_1,студент_2,3,"Учебные материалы хорошие, но местами не хватало примеров."
модуль_3,курс_1,студент_2,2,"Очень скучно, мало полезной информации."
модуль_4,курс_1,студент_2,2,"Слишком много теории, мало практики."
модуль_5,курс_1,студент_2,1,"Очень разочарован, зря потратил время."
модуль_9,курс_1,студент_2,3,"Учебные материалы хорошие, но местами не хватало примеров."
модуль_10,курс_1,студент_2,3,"Курс хороший, но можно было бы добавить больше практики."
модуль_1,курс_1,студент_3,5,"Курс превзошел мои ожидания, узнал много нового."
модуль_6,курс_1,студент_3,3,"Учебные материалы хорошие, но местами не хватало примеров."
модуль_7,курс_1,студент_3,1,"Слишком много теории, мало практики."
модуль_8,курс_1,студент_3,2,"Очень скучно, мало полезной информации."
модуль_9,курс_1,студент_3,4,"Много практических занятий, что очень полезно."
модуль_10,курс_1,студент_3,3,"Курс неплохой, но слишком много теории."
модуль_1,курс_1,студент_4,1,"Не понравился курс, материал плохо подан."
модуль_3,курс_1,студент_4,1,"Очень скучно, мало полезной информации."
модуль_4,курс_1,студент_4,2,Преподаватели не смогли заинтересовать.
модуль_10,курс_1,студент_4,3,"Нормально, но хотелось бы больше интерактива."
модуль_1,курс_1,студент_5,1,Курс не оправдал ожиданий.
модуль_4,курс_1,студент_5,5,Преподаватели дают много полезных советов.
модуль_5,курс_1,студент_5,1,"Не понравился курс, материал плохо подан."
модуль_7,курс_1,студент_5,5,"Отличный курс, много полезной информации."
модуль_8,курс_1,студент_5,2,Преподаватели не отвечают на вопросы.
модуль_9,курс_1,студент_5,3,"В целом неплохо, но есть куда расти."
модуль_10,курс_1,студент_5,5,"Замечательный курс, все четко и по делу."
модуль_4,курс_1,студент_6,5,"Очень понравилось, буду рекомендовать коллегам."
модуль_6,курс_1,студент_6,2,Курс не оправдал ожиданий.
модуль_7,курс_1,студент_6,3,"Нормально, но хотелось бы больше интерактива."
модуль_8,курс_1,студент_6,5,"Замечательный курс, все четко и по делу."
модуль_9,курс_1,студент_6,3,"Материал неплохой, но иногда скучновато."
модуль_10,курс_1,студент_6,3,"Нормально, но хотелось бы больше интерактива."
модуль_1,курс_1,студент_7,1,Организация учебного процесса оставляет желать лучшего.
модуль_3,курс_1,студент_7,3,"Достаточно информативно, но не хватило времени на практику."
модуль_4,курс_1,студент_7,5,Отличная организация учебного процесса.
модуль_6,курс_1,студент_7,1,Организация учебного процесса оставляет желать лучшего.
модуль_9,курс_1,студент_7,4,Очень хорошие учебные материалы.
модуль_10,курс_1,студент_7,2,"Не понравился курс, материал плохо подан."
модуль_1,курс_1,студент_8,3,"В целом неплохо, но есть куда расти."
модуль_3,курс_1,студент_8,3,"В целом неплохо, но есть куда расти."
