код_модуль,код_курс,код_сотрудник,оценка_курс,отзыв
модуль_2,курс_1,студент_1,5,"Много практических занятий, что очень полезно."
модуль_3,курс_1,студент_1,2,"Слишком много теории, мало практики."
модуль_7,курс_1,студент_1,4,"Преподаватели супер, материал изложен доступно."
модуль_8,курс_1,студент_1,5,"Курс превзошел мои ожидания, узнал много нового."
модуль_10,курс_1,студент_1,3,"Средний курс, ожидал немного большего."
модуль_2,курс_1,студент_2,4,Материалы курса на высшем уровне.
модуль_3,курс_1,студент_2,2,"Не понравился курс, материал плохо подан."
модуль_8,курс_1,студент_2,1,Преподаватели не отвечают на вопросы.
модуль_9,курс_1,студент_2,5,Отличная организация учебного процесса.
модуль_10,курс_1,студент_3,2,"Очень разочарован, зря потратил время."
модуль_1,курс_1,студент_4,1,"Материалы устарели, нуждаются в обновлении."
модуль_3,курс_1,студент_4,3,"Нормально, но хотелось бы больше интерактива."
модуль_4,курс_1,студент_4,1,"Не понравился курс, материал плохо подан."
модуль_5,курс_1,студент_4,5,"Преподаватели супер, материал изложен доступно."
модуль_9,курс_1,студент_4,3,"Неплохо, но можно было бы улучшить организацию."
модуль_3,курс_1,студент_5,3,"Неплохо, но можно было бы улучшить организацию."
модуль_4,курс_1,студент_5,2,Организация учебного процесса оставляет желать лучшего.
модуль_5,курс_1,студент_5,3,"Материал неплохой, но иногда скучновато."
модуль_7,курс_1,студент_5,1,Преподаватели не отвечают на вопросы.
модуль_2,курс_1,студент_6,4,"Преподаватели супер, материал изложен доступно."
модуль_3,курс_1,студент_6,5,Очень хорошие учебные материалы.
модуль_4,курс_1,студент_6,4,Преподаватели дают много полезных советов.
модуль_5,курс_1,студент_6,2,"Очень разочарован, зря потратил время."
модуль_6,курс_1,студент_6,3,"Учебные материалы хорошие, но местами не хватало примеров."
модуль_7,курс_1,студент_6,1,Преподаватели не отвечают на вопросы.
модуль_9,курс_1,студент_6,3,"Курс неплохой, но слишком много теории."
модуль_2,курс_1,студент_7,5,"Замечательный курс, все четко и по делу."
модуль_3,курс_1,студент_7,3,"Достаточно информативно, но не хватило времени на практику."
модуль_5,курс_1,студент_7,1,Преподаватели не отвечают на вопросы.
модуль_6,курс_1,студент_7,5,Очень хорошие учебные материалы.
модуль_7,курс_1,студент_7,3,"Учебные материалы хорошие, но местами не хватало примеров."
модуль_7,курс_1,студент_8,4,"Замечательный курс, все четко и по делу."
модуль_10,курс_1,студент_8,2,Курс не оправдал ожиданий.
модуль_1,курс_1,студент_9,1,Курс не оправдал ожиданий.
модуль_4,курс_1,студент_9,2,"Не понравился курс, материал плохо подан."
модуль_5,курс_1,студент_9,5,Очень хорошие учебные материалы.
модуль_6,курс_1,студент_9,3,"В целом неплохо, но есть куда расти."
модуль_7,курс_1,студент_9,4,Очень хорошие учебные материалы.
модуль_8,курс_1,студент_9,1,"Слишком много теории, мало практики."
модуль_9,курс_1,студент_9,3,"Курс неплохой, но слишком много теории."
модуль_10,курс_1,студент_9,2,"Не понравился курс, материал плохо подан."
модуль_1,курс_1,студент_10,3,"Курс хороший, но можно было бы добавить больше практики."
модуль_5,курс_1,студент_10,2,"Материалы устарели, нуждаются в обновлении."
модуль_6,курс_1,студент_10,2,"Очень скучно, мало полезной информации."
модуль_7,курс_1,студент_10,3,"Неплохо, но можно было бы улучшить организацию."
модуль_10,курс_1,студент_10,1,"Не понравился курс, материал плохо подан."
модуль_3,курс_1,студент_11,3,"Курс хороший, но можно было бы добавить больше практики."
модуль_5,курс_1,студент_11,1,"Слишком много теории, мало практики."
модуль_8,курс_1,студент_11,5,Очень хорошие учебные материалы.
модуль_9,курс_1,студент_11,2,Материалы курса плохо структурированы.
модуль_10,курс_1,студент_11,5,"Много практических занятий, что очень полезно."
модуль_1,курс_1,студент_12,1,"Материалы устарели, нуждаются в обновлении."
модуль_6,курс_1,студент_12,5,"Много практических занятий, что очень полезно."
модуль_10,курс_1,студент_12,5,Материалы курса на высшем уровне.
модуль_4,курс_1,студент_13,3,"Нормально, но хотелось бы больше интерактива."
модуль_5,курс_1,студент_13,1,Преподаватели не смогли заинтересовать.
модуль_6,курс_1,студент_13,3,"Средний курс, ожидал немного большего."
модуль_7,курс_1,студент_13,4,"Замечательный курс, все четко и по делу."
модуль_1,курс_1,студент_14,5,"Замечательный курс, все четко и по делу."
модуль_7,курс_1,студент_14,5,Очень хорошие учебные материалы.
модуль_10,курс_1,студент_14,5,Очень хорошие учебные материалы.
модуль_7,курс_1,студент_15,3,"Неплохо, но можно было бы улучшить организацию."
модуль_8,курс_1,студент_15,3,"Материал неплохой, но иногда скучновато."
модуль_9,курс_1,студент_15,4,Преподаватели дают много полезных советов.
модуль_10,курс_1,студент_15,3,"Неплохо, но можно было бы улучшить организацию."
модуль_1,курс_1,студент_16,3,"Неплохо, но можно было бы улучшить организацию."
модуль_5,курс_1,студент_16,3,"Средний курс, ожидал немного большего."
модуль_7,курс_1,студент_16,1,Материалы курса плохо структурированы.
модуль_9,курс_1,студент_16,4,Отличная организация учебного процесса.
модуль_1,курс_1,студент_17,2,"Очень скучно, мало полезной информации."
модуль_2,курс_1,студент_17,4,"Преподаватели супер, материал изложен доступно."
модуль_3,курс_1,студент_17,1,Организация учебного процесса оставляет желать лучшего.
модуль_5,курс_1,студент_17,3,"Учебные материалы хорошие, но местами не хватало примеров."
модуль_6,курс_1,студент_17,4,"Очень понравилось, буду рекомендовать коллегам."
модуль_7,курс_1,студент_17,5,"Преподаватели супер, материал изложен доступно."
модуль_10,курс_1,студент_17,1,"Не понравился курс, материал плохо подан."
модуль_4,курс_1,студент_18,1,Организация учебного процесса оставляет желать лучшего.
модуль_5,курс_1,студент_18,2,Курс не оправдал ожиданий.
модуль_7,курс_1,студент_18,2,Преподаватели не смогли заинтересовать.
модуль_8,курс_1,студент_18,1,"Очень разочарован, зря потратил время."
модуль_9,курс_1,студент_18,5,Преподаватели дают много полезных советов.
модуль_10,курс_1,студент_18,2,Материалы курса плохо структурированы.
модуль_1,курс_1,студент_19,1,"Слишком много теории, мало практики."
модуль_5,курс_1,студент_19,3,Материалы курса иногда тяжело воспринимаются.
модуль_8,курс_1,студент_19,3,"Материал неплохой, но иногда скучновато."
модуль_9,курс_1,студент_19,2,"Очень скучно, мало полезной информации."
модуль_1,курс_1,студент_20,3,Материалы курса иногда тяжело воспринимаются.
модуль_2,курс_1,студент_20,5,"Отличный курс, много полезной информации."
модуль_5,курс_1,студент_20,1,Курс не оправдал ожиданий.
модуль_6,курс_1,студент_20,4,"Отличный курс, много полезной информации."
модуль_8,курс_1,студент_20,5,Очень хорошие учебные материалы.
модуль_10,курс_1,студент_20,1,Курс не оправдал ожиданий.
модуль_2,курс_1,студент_21,4,"Преподаватели супер, материал изложен доступно."
модуль_3,курс_1,студент_21,3,"Учебные материалы хорошие, но местами не хватало примеров."
модуль_4,курс_1,студент_21,1,Организация учебного процесса оставляет желать лучшего.
модуль_8,курс_1,студент_21,3,"Достаточно информативно, но не хватило времени на практику."
модуль_9,курс_1,студент_21,5,"Преподаватели супер, материал изложен доступно."
модуль_1,курс_1,студент_22,4,Отличная организация учебного процесса.
модуль_7,курс_1,студент_22,1,"Не понравился курс, материал плохо подан."
модуль_8,курс_1,студент_22,2,Материалы курса плохо структурированы.
модуль_10,курс_1,студент_22,1,"Материалы устарели, нуждаются в обновлении."
модуль_1,курс_1,студент_23,3,"Нормально, но хотелось бы больше интерактива."
модуль_6,курс_1,студент_23,4,"Много практических занятий, что очень полезно."
модуль_7,курс_1,студент_23,1,"Очень скучно, мало полезной информации."
модуль_9,курс_1,студент_23,4,Отличная организация учебного процесса.
модуль_1,курс_1,студент_24,5,Очень хорошие учебные материалы.
модуль_4,курс_1,студент_24,3,"Материал неплохой, но иногда скучновато."
модуль_5,курс_1,студент_24,1,Материалы курса плохо структурированы.
модуль_7,курс_1,студент_24,3,"Средний курс, ожидал немного большего."
модуль_3,курс_1,студент_25,4,Очень хорошие учебные материалы.
модуль_4,курс_1,студент_25,3,"Достаточно информативно, но не хватило времени на практику."
модуль_7,курс_1,студент_25,4,"Курс превзошел мои ожидания, узнал много нового."
модуль_10,курс_1,студент_25,3,"Нормально, но хотелось бы больше интерактива."
модуль_6,курс_1,студент_26,4,Преподаватели дают много полезных советов.
модуль_7,курс_1,студент_26,5,"Отличный курс, много полезной информации."
модуль_8,курс_1,студент_26,4,"Замечательный курс, все четко и по делу."
модуль_10,курс_1,студент_26,3,"Неплохо, но можно было бы улучшить организацию."
модуль_4,курс_1,студент_27,2,Преподаватели не смогли заинтересовать.
модуль_8,курс_1,студент_27,2,Преподаватели не отвечают на вопросы.
модуль_10,курс_1,студент_27,4,"Замечательный курс, все четко и по делу."
модуль_1,курс_1,студент_28,2,"Не понравился курс, материал плохо подан."
модуль_2,курс_1,студент_28,5,"Курс превзошел мои ожидания, узнал много нового."
модуль_3,курс_1,студент_28,5,"Очень понравилось, буду рекомендовать коллегам."
модуль_4,курс_1,студент_28,2,Курс не оправдал ожиданий.
модуль_5,курс_1,студент_28,3,"Учебные материалы хорошие, но местами не хватало примеров."
модуль_8,курс_1,студент_28,3,"Учебные материалы хорошие, но местами не хватало примеров."
модуль_9,курс_1,студент_28,1,"Материалы устарели, нуждаются в обновлении."
модуль_1,курс_1,студент_29,4,Материалы курса на высшем уровне.
модуль_2,курс_1,студент_29,3,"Нормально, но хотелось бы больше интерактива."
модуль_3,курс_1,студент_29,3,"Нормально, но хотелось бы больше интерактива."
модуль_4,курс_1,студент_29,4,"Много практических занятий, что очень полезно."
модуль_7,курс_1,студент_29,2,"Материалы устарели, нуждаются в обновлении."
модуль_9,курс_1,студент_29,4,Материалы курса на высшем уровне.
модуль_10,курс_1,студент_29,2,"Не понравился курс, материал плохо подан."
модуль_1,курс_1,студент_30,4,Преподаватели дают много полезных советов.
модуль_5,курс_1,студент_30,5,"Отличный курс, много полезной информации."
модуль_6,курс_1,студент_30,2,Преподаватели не смогли заинтересовать.
модуль_7,курс_1,студент_30,3,"Курс хороший, но можно было бы добавить больше практики."
модуль_8,курс_1,студент_30,3,"В целом неплохо, но есть куда расти."
модуль_9,курс_1,студент_30,5,"Отличный курс, много полезной информации."
модуль_1,курс_1,студент_31,3,"Нормально, но хотелось бы больше интерактива."
модуль_4,курс_1,студент_31,3,"Материал неплохой, но иногда скучновато."
модуль_6,курс_1,студент_31,3,"Средний курс, ожидал немного большего."
модуль_10,курс_1,студент_31,3,"Курс хороший, но можно было бы добавить больше практики."
модуль_1,курс_1,студент_32,3,"В целом неплохо, но есть куда расти."
модуль_2,курс_1,студент_32,3,"Средний курс, ожидал немного большего."
модуль_3,курс_1,студент_32,4,"Курс превзошел мои ожидания, узнал много нового."
модуль_4,курс_1,студент_32,2,"Очень скучно, мало полезной информации."
модуль_6,курс_1,студент_32,5,Отличная организация учебного процесса.
модуль_1,курс_1,студент_33,1,"Не понравился курс, материал плохо подан."
модуль_2,курс_1,студент_33,5,"Отличный курс, много полезной информации."
модуль_3,курс_1,студент_33,5,Отличная организация учебного процесса.
модуль_9,курс_1,студент_33,4,"Преподаватели супер, материал изложен доступно."
модуль_3,курс_1,студент_34,5,Преподаватели дают много полезных советов.
модуль_4,курс_1,студент_34,2,"Материалы устарели, нуждаются в обновлении."
модуль_5,курс_1,студент_34,4,Отличная организация учебного процесса.
модуль_6,курс_1,студент_34,1,"Не понравился курс, материал плохо подан."
модуль_8,курс_1,студент_34,5,"Преподаватели супер, материал изложен доступно."
модуль_9,курс_1,студент_34,2,"Очень разочарован, зря потратил время."
модуль_1,курс_1,студент_35,3,"Материал неплохой, но иногда скучновато."
модуль_4,курс_1,студент_35,5,"Отличный курс, много полезной информации."
модуль_6,курс_1,студент_35,3,"Учебные материалы хорошие, но местами не хватало примеров."
модуль_8,курс_1,студент_35,5,"Очень понравилось, буду рекомендовать коллегам."
модуль_10,курс_1,студент_35,3,Материалы курса иногда тяжело воспринимаются.
модуль_4,курс_1,студент_36,4,Преподаватели дают много полезных советов.
модуль_6,курс_1,студент_36,2,Материалы курса плохо структурированы.
модуль_7,курс_1,студент_36,2,Материалы курса плохо структурированы.
модуль_10,курс_1,студент_36,2,Материалы курса плохо структурированы.
модуль_1,курс_1,студент_37,2,"Не понравился курс, материал плохо подан."
модуль_4,курс_1,студент_37,5,"Очень понравилось, буду рекомендовать коллегам."
модуль_5,курс_1,студент_37,5,Очень хорошие учебные материалы.
модуль_7,курс_1,студент_37,1,"Слишком много теории, мало практики."
модуль_8,курс_1,студент_37,5,"Курс превзошел мои ожидания, узнал много нового."
модуль_1,курс_1,студент_38,1,Преподаватели не смогли заинтересовать.
модуль_2,курс_1,студент_38,3,"Неплохо, но можно было бы улучшить организацию."
модуль_5,курс_1,студент_38,5,"Преподаватели супер, материал изложен доступно."
модуль_6,курс_1,студент_38,4,Преподаватели дают много полезных советов.
модуль_7,курс_1,студент_38,4,"Замечательный курс, все четко и по делу."
модуль_9,курс_1,студент_38,4,"Преподаватели супер, материал изложен доступно."
модуль_1,курс_1,студент_39,3,"Нормально, но хотелось бы больше интерактива."
модуль_5,курс_1,студент_39,3,"В целом неплохо, но есть куда расти."
модуль_7,курс_1,студент_39,1,"Не понравился курс, материал плохо подан."
модуль_1,курс_1,студент_40,3,"Курс неплохой, но слишком много теории."
модуль_2,курс_1,студент_40,1,"Слишком много теории, мало практики."
модуль_4,курс_1,студент_40,5,Материалы курса на высшем уровне.
модуль_6,курс_1,студент_40,1,"Очень скучно, мало полезной информации."
